canonical_name,current_exercise_type,current_movement_pattern,current_equipment_required,proposed_family,proposed_base_movement,physical_variant_attributes,prescription_or_protocol_attributes,visual_identity_candidate,catalog_disposition,confidence,notes
Dumbbell Suitcase Deadlift,strength,hinge,dumbbell,hip_hinge,deadlift,equipment=dumbbell; laterality=unilateral,,visual_dumbbell_suitcase_deadlift,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Farmer March,conditioning,carry,dumbbell,loaded_carry,farmer_carry,equipment=dumbbell; laterality=bilateral; load_position=sides; locomotion_mode=march,,visual_dumbbell_farmer_march,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Suitcase March,conditioning,carry,dumbbell,loaded_carry,suitcase_carry,equipment=dumbbell; laterality=unilateral; load_position=suitcase; locomotion_mode=march,,visual_dumbbell_suitcase_march,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Tempo Goblet Squat,strength,squat,dumbbell,bilateral_knee_dominant,goblet_squat,equipment=dumbbell; load_position=goblet,protocol=tempo,visual_goblet_squat,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Dumbbell Heel-Elevated Goblet Squat,strength,squat,dumbbell; plates,bilateral_knee_dominant,goblet_squat,equipment=dumbbell+plates; load_position=goblet,,visual_dumbbell_heel_elevated_goblet_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Offset Reverse Lunge,strength,lunge,dumbbell,unilateral_knee_dominant,reverse_lunge,equipment=dumbbell; laterality=unilateral; stance=split,,visual_dumbbell_offset_reverse_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Skater Squat,strength,lunge,dumbbell,unilateral_knee_dominant,skater_squat,equipment=dumbbell; laterality=unilateral,,visual_dumbbell_skater_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Renegade Row,strength,horizontal_pull,dumbbell,rowing,renegade_row,equipment=dumbbell; body_position=plank,,visual_dumbbell_renegade_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Shrug,strength,horizontal_pull,barbell; plates,scapular_elevation,shrug,equipment=barbell+plates,,visual_barbell_shrug,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Calf Raise,strength,squat,barbell; rack; plates,ankle_plantarflexion,calf_raise,equipment=barbell+rack+plates,,visual_barbell_calf_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Rack Pull,strength,hinge,barbell; rack; plates,hip_hinge,rack_pull,equipment=barbell+rack+plates; range=partial,,visual_rack_pull,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Hip Hinge Drill,mobility,hinge,barbell,hip_hinge,hip_hinge_drill,equipment=barbell; execution_mode=dynamic,,visual_barbell_hip_hinge_drill,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Tall-Kneeling Press,strength,vertical_push,barbell; plates,vertical_press,overhead_press,equipment=barbell+plates; body_position=tall_kneeling,,visual_barbell_tall_kneeling_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Lunge,strength,lunge,barbell; plates,unilateral_knee_dominant,lunge,equipment=barbell+plates; stance=split,,visual_barbell_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Reverse-Grip Row,strength,horizontal_pull,barbell; plates,rowing,row,equipment=barbell+plates; grip=reverse,,visual_barbell_reverse_grip_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Drag Curl,strength,arms_biceps,ez_bar; plates,elbow_flexion,drag_curl,equipment=ez_bar+plates,,visual_ez_bar_drag_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Close-Grip Floor Press,strength,horizontal_push,ez_bar; plates,horizontal_press,bench_press,equipment=ez_bar+plates; support_type=floor; grip=close,,visual_ez_bar_close_grip_floor_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar JM Press,strength,arms_triceps,ez_bar; plates; adjustable_bench,elbow_extension,jm_press,equipment=ez_bar+plates+adjustable_bench; support_type=bench,,visual_ez_bar_jm_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Pull-Up Bar Dead Hang,mobility,vertical_pull,pull_up_bar,vertical_pull,bar_hang,equipment=pull_up_bar; execution_mode=isometric,,visual_pull_up_bar_dead_hang,RETAIN_AS_STRUCTURED_VARIANT,medium,Physical template reconciled with Dead Hang while canonical and visual identities remain separate pending alias confirmation.
Pull-Up Flexed-Arm Hang,strength,vertical_pull,pull_up_bar,vertical_pull,flexed_arm_hang,equipment=pull_up_bar; execution_mode=isometric,,visual_pull_up_flexed_arm_hang,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Chest Press,strength,horizontal_push,resistance_band,horizontal_press,standing_chest_press,equipment=resistance_band,,visual_band_chest_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Squat,strength,squat,resistance_band,bilateral_knee_dominant,squat,equipment=resistance_band,,visual_band_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Split Squat,strength,lunge,resistance_band,unilateral_knee_dominant,split_squat,equipment=resistance_band; stance=split,,visual_band_split_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Romanian Deadlift,strength,hinge,resistance_band,hip_hinge,romanian_deadlift,equipment=resistance_band,,visual_band_romanian_deadlift,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Hamstring Curl,strength,hinge,resistance_band,knee_flexion,hamstring_curl,equipment=resistance_band,,visual_band_hamstring_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Dead Bug Pulldown,core,core_anti_extension,bodyweight; resistance_band,core_anti_extension,band_dead_bug_pulldown,equipment=bodyweight+resistance_band,,visual_band_dead_bug_pulldown,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Anti-Rotation Hold,core,core_anti_rotation,resistance_band,core_anti_rotation,anti_rotation_hold,equipment=resistance_band; execution_mode=isometric,,visual_band_anti_rotation_hold,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Shoulder Dislocate,mobility,vertical_push,resistance_band,shoulder_mobility,shoulder_dislocate,equipment=resistance_band; execution_mode=dynamic,,visual_band_shoulder_dislocate,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Chest Press,strength,horizontal_push,cable,horizontal_press,standing_chest_press,equipment=cable,,visual_cable_chest_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Rear Delt Row,strength,horizontal_pull,cable,rear_delt_retraction,rear_delt_row,equipment=cable; movement_direction=horizontal,,visual_cable_rear_delt_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable 90/90 External Rotation,mobility,horizontal_pull,cable,shoulder_rotation,shoulder_90_90_external_rotation,equipment=cable; execution_mode=dynamic,,visual_cable_90/90_external_rotation,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Lateral Lunge,strength,lunge,cable,unilateral_knee_dominant,lateral_lunge,equipment=cable; stance=split,,visual_cable_lateral_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Romanian Deadlift,strength,hinge,cable,hip_hinge,romanian_deadlift,equipment=cable,,visual_cable_romanian_deadlift,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Kickback,strength,hinge,cable,hip_extension,glute_kickback,equipment=cable,,visual_cable_kickback,TAXONOMY_REVIEW_REQUIRED,medium,Name is under-specified between glute and triceps uses; current hinge placement suggests glute.
Cable Anti-Rotation Hold,core,core_anti_rotation,cable,core_anti_rotation,anti_rotation_hold,equipment=cable; execution_mode=isometric,,visual_cable_anti_rotation_hold,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Rope Cable Curl,strength,arms_biceps,cable; rope_cable_attachment,elbow_flexion,curl,equipment=cable+rope_cable_attachment; attachment=rope,,visual_rope_cable_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Treadmill Recovery Walk,conditioning,conditioning,treadmill,treadmill_locomotion,treadmill_walk,equipment=treadmill; locomotion_mode=walk,protocol=recovery,visual_treadmill_walk,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Treadmill Easy Intervals,conditioning,conditioning,treadmill,treadmill_locomotion,treadmill_locomotion_unspecified,equipment=treadmill; locomotion_mode=unspecified,protocol=easy_intervals,visual_treadmill_easy_intervals,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,low,Canonical identity does not specify walk/jog/run; preserve that physical uncertainty and canonical ID until reviewed additive migration.
Bike Easy Spin,conditioning,conditioning,bike,stationary_cycling,stationary_bike,equipment=bike,protocol=easy,visual_stationary_bike,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Bike Cadence Drill,conditioning,conditioning,bike,stationary_cycling,stationary_bike,equipment=bike,protocol=cadence_drill,visual_stationary_bike,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
